AFR_T,LFR_T,BFR_T,D5_T,D10_T,D50_T,D90_T,AFR_V1,LFR_V1,BFR_V1,D5_V1,D10_V1,D50_V1,D90_V1,AFR_V2,LFR_V2,BFR_V2,D5_V2,D10_V2,D50_V2,D90_V2,AFR_V3,LFR_V3,BFR_V3,D5_V3,D10_V3,D50_V3,D90_V3
3.6345816,12.721037,4.543227,8.688068,12.545218,49.778122,766.6561,2.7259364,10.903746,3.6345816,8.686923,12.540933,49.53106,765.8263,4.543227,9.086455,4.543227,8.670588,12.495119,50.579628,769.2381,4.543227,9.086455,4.543227,8.670588,12.495119,50.579628,769.2381
3.6195774,12.668521,4.5244718,8.688579,12.546784,49.788036,766.6874,2.714683,10.858732,3.6195774,8.687429,12.542485,49.540756,765.85785,4.5244718,9.0489435,4.5244718,8.671102,12.496705,50.590252,769.2683,4.5244718,9.0489435,4.5244718,8.671102,12.496705,50.590252,769.2683
3.6087408,12.630593,4.510926,8.689137,12.5485,49.79891,766.72156,2.7065556,10.826222,3.6087408,8.687984,12.5441885,49.55139,765.89233,4.510926,9.021852,4.510926,8.671665,12.498443,50.601902,769.3014,4.510926,9.021852,4.510926,8.671665,12.498443,50.601902,769.3014
3.6021912,12.607669,4.5027394,8.689739,12.550344,49.810604,766.7583,2.7016435,10.806574,3.6021912,8.688582,12.546019,49.562828,765.92944,4.5027394,9.005478,4.5027394,8.672271,12.50031,50.614426,769.3369,4.5027394,9.005478,4.5027394,8.672271,12.50031,50.614426,769.3369
3.6,12.6,4.5,8.690374,12.552294,49.82296,766.79706,2.7,10.8,3.6,8.689213,12.547953,49.574917,765.96857,4.5,9,4.5,8.672911,12.502283,50.627663,769.3744,4.5,9,4.5,8.672911,12.502283,50.627663,769.3744
3.6021912,12.607669,4.5027394,8.691034,12.554319,49.835815,766.8373,2.7016435,10.806574,3.6021912,8.689869,12.549963,49.58749,766.0092,4.5027394,9.005478,4.5027394,8.673575,12.504334,50.64143,769.4133,4.5027394,9.005478,4.5027394,8.673575,12.504334,50.64143,769.4133
3.6087408,12.630593,4.510926,8.69171,12.556395,49.848984,766.8785,2.7065556,10.826222,3.6087408,8.69054,12.552022,49.600372,766.0507,4.510926,9.021852,4.510926,8.674256,12.506434,50.655533,769.4531,4.510926,9.021852,4.510926,8.674256,12.506434,50.655533,769.4531
3.6195774,12.668521,4.5244718,8.692393,12.558488,49.862274,766.9199,2.714683,10.858732,3.6195774,8.691218,12.554099,49.613373,766.0926,4.5244718,9.0489435,4.5244718,8.674943,12.508553,50.669765,769.4932,4.5244718,9.0489435,4.5244718,8.674943,12.508553,50.669765,769.4932
3.6345816,12.721037,4.543227,8.693071,12.560569,49.875496,766.9611,2.7259364,10.903746,3.6345816,8.691892,12.556164,49.626305,766.1342,4.543227,9.086455,4.543227,8.675626,12.510658,50.68392,769.533,4.543227,9.086455,4.543227,8.675626,12.510658,50.68392,769.533
3.65359,12.787564,4.5669875,8.693736,12.562608,49.888454,767.0014,2.7401922,10.960769,3.65359,8.692553,12.558187,49.63898,766.17487,4.5669875,9.133974,4.5669875,8.676295,12.512722,50.697796,769.57196,4.5669875,9.133974,4.5669875,8.676295,12.512722,50.697796,769.57196
3.676393,12.867376,4.5954914,8.694378,12.564575,49.900963,767.0403,2.757295,11.02918,3.676393,8.693189,12.560139,49.651215,766.2141,4.5954914,9.190983,4.5954914,8.676941,12.514712,50.71119,769.6095,4.5954914,9.190983,4.5954914,8.676941,12.514712,50.71119,769.6095
3.702742,12.959598,4.6284275,8.694986,12.566443,49.91285,767.07715,2.7770565,11.108226,3.702742,8.693794,12.561994,49.66284,766.2513,4.6284275,9.256855,4.6284275,8.677554,12.5166025,50.723915,769.6451,4.6284275,9.256855,4.6284275,8.677554,12.5166025,50.723915,769.6451
3.732348,13.063217,4.665435,8.695556,12.568188,49.923954,767.1115,2.7992609,11.197043,3.732348,8.69436,12.563725,49.673706,766.286,4.665435,9.33087,4.665435,8.678126,12.518368,50.7358,769.6783,4.665435,9.33087,4.665435,8.678126,12.518368,50.7358,769.6783
3.7648861,13.1771,4.7061076,8.696076,12.569787,49.93413,767.14294,2.8236644,11.294658,3.7648861,8.694877,12.565311,49.683662,766.31775,4.7061076,9.412215,4.7061076,8.678651,12.519984,50.746693,769.7087,4.7061076,9.412215,4.7061076,8.678651,12.519984,50.746693,769.7087
3.7999997,13.3,4.75,8.696544,12.57122,49.94326,767.17114,2.8500001,11.400001,3.7999997,8.695341,12.566734,49.69259,766.3462,4.75,9.5,4.75,8.67912,12.521434,50.75646,769.7359,4.75,9.5,4.75,8.67912,12.521434,50.75646,769.7359
3.837305,13.430569,4.796632,8.696952,12.572473,49.951237,767.19574,2.877979,11.511916,3.837305,8.695746,12.567977,49.700394,766.37103,4.796632,9.593264,4.796632,8.679531,12.522699,50.764996,769.75964,4.796632,9.593264,4.796632,8.679531,12.522699,50.764996,769.75964
3.8763928,13.567376,4.8454914,8.697298,12.573532,49.95799,767.2165,2.907295,11.62918,3.8763928,8.69609,12.569029,49.706997,766.392,4.8454914,9.690983,4.8454914,8.679878,12.52377,50.772213,769.77966,4.8454914,9.690983,4.8454914,8.679878,12.52377,50.772213,769.77966
3.9168353,13.708924,4.896044,8.697577,12.574389,49.963455,767.23334,2.9376266,11.750506,3.9168353,8.696368,12.56988,49.712345,766.409,4.896044,9.792088,4.896044,8.68016,12.524636,50.77806,769.7959,4.896044,9.792088,4.896044,8.68016,12.524636,50.77806,769.7959
3.9581885,13.85366,4.947736,8.697789,12.575041,49.967606,767.24603,2.9686415,11.874566,3.9581885,8.696579,12.570526,49.716408,766.4218,4.947736,9.895472,4.947736,8.680372,12.525294,50.782494,769.80817,4.947736,9.895472,4.947736,8.680372,12.525294,50.782494,769.80817
4,14,5,8.697934,12.575483,49.970425,767.2547,3,12,4,8.696722,12.570965,49.719166,766.43054,5,10,5,8.680517,12.52574,50.785503,769.8165,5,10,5,8.680517,12.52574,50.785503,769.8165
4.0418115,18.188152,6.062717,8.712562,12.62029,50.244335,768.0823,3.0313585,12.125434,3.0313585,8.670971,12.4920225,49.227352,764.8199,3.0313585,14.146339,6.062717,8.701407,12.589973,51.17271,770.86206,4.547038,18.188152,2.0209057,8.600663,12.279182,49.11283,764.6754
